date,campaign_name,campaign_type,spend,revenue,impressions,clicks,conversions
2024-01-06,Meta_Prospecting_Broad,display,1005.48,3378.14,37600,752,27
2024-01-07,Meta_Prospecting_Broad,display,1142.52,3792.1,48440,865,38
2024-01-08,Meta_Prospecting_Broad,display,847.14,3065.92,34944,672,27
2024-01-09,Meta_Prospecting_Broad,display,819.58,2848.06,25461,621,29
2024-01-10,Meta_Prospecting_Broad,display,963.83,3730.46,34349,701,21
2024-01-11,Meta_Prospecting_Broad,display,875.05,2954.16,48762,774,36
2024-01-12,Meta_Prospecting_Broad,display,953.49,3539.83,40869,717,29
2024-01-13,Meta_Prospecting_Broad,display,1128.92,4328.46,51712,808,36
2024-01-14,Meta_Prospecting_Broad,display,988.98,3302.02,35904,816,26
2024-01-15,Meta_Prospecting_Broad,display,1071.94,3704.96,56700,810,27
2024-01-16,Meta_Prospecting_Broad,display,994.29,3596.19,33210,810,28
2024-01-17,Meta_Prospecting_Broad,display,1053.27,3731.41,45522,843,40
2024-01-18,Meta_Prospecting_Broad,display,1102.33,4383.66,38400,768,42
2024-01-19,Meta_Prospecting_Broad,display,1126.91,4766.3,43500,870,29
2024-01-20,Meta_Prospecting_Broad,display,1052.93,3669.08,48895,889,36
2024-01-21,Meta_Prospecting_Broad,display,1162.48,3782.92,56956,982,20
2024-01-22,Meta_Prospecting_Broad,display,987.18,4008.29,41890,710,23
2024-01-23,Meta_Prospecting_Broad,display,874.74,3163.33,38048,656,17
2024-01-24,Meta_Prospecting_Broad,display,1037.75,3725.54,54936,872,36
2024-01-25,Meta_Prospecting_Broad,display,947.35,2968.02,28085,685,34
2024-01-26,Meta_Prospecting_Broad,display,946.54,3131.67,37524,708,34
2024-01-27,Meta_Prospecting_Broad,display,1194.58,4598.16,70587,1023,48
2024-01-28,Meta_Prospecting_Broad,display,1001.49,3601.87,43792,782,22
2024-01-29,Meta_Prospecting_Broad,display,1039.61,3887.53,41850,837,27
2024-01-30,Meta_Prospecting_Broad,display,1086.83,3713.14,55754,914,35
2024-01-31,Meta_Prospecting_Broad,display,1030.34,3149.66,50091,849,26
2024-02-01,Meta_Prospecting_Broad,display,860.17,3070.63,46760,668,31
2024-02-02,Meta_Prospecting_Broad,display,1056.4,3655.29,50964,822,37
2024-02-03,Meta_Prospecting_Broad,display,1025.06,3610.37,58527,929,31
2024-02-04,Meta_Prospecting_Broad,display,1088.25,3962.54,44876,863,28
2024-02-05,Meta_Prospecting_Broad,display,1048.11,3004.87,38710,790,27
2024-02-06,Meta_Prospecting_Broad,display,1002.26,3476.36,44478,706,24
2024-02-07,Meta_Prospecting_Broad,display,932.71,3287.48,52824,852,30
2024-02-08,Meta_Prospecting_Broad,display,959.61,3486.68,30340,740,25
2024-02-09,Meta_Prospecting_Broad,display,920.88,2945.17,38107,719,27
2024-02-10,Meta_Prospecting_Broad,display,1006.65,3802.31,55020,786,28
2024-02-11,Meta_Prospecting_Broad,display,895.69,2955.4,54196,797,40
2024-02-12,Meta_Prospecting_Broad,display,848.26,3021.29,31899,651,22
2024-02-13,Meta_Prospecting_Broad,display,845.53,2548.99,34371,603,27
2024-02-14,Meta_Prospecting_Broad,display,901.86,2665.58,31853,601,27
2024-02-15,Meta_Prospecting_Broad,display,924.8,3128.24,30524,587,16
2024-02-16,Meta_Prospecting_Broad,display,898.69,2988.4,33859,691,16
2024-02-17,Meta_Prospecting_Broad,display,975.01,3386.48,38650,773,30
2024-02-18,Meta_Prospecting_Broad,display,921.85,3984.23,53830,769,29
2024-02-19,Meta_Prospecting_Broad,display,903.57,3386.3,35350,707,38
2024-02-20,Meta_Prospecting_Broad,display,883.5,3326.02,42903,681,31
2024-02-21,Meta_Prospecting_Broad,display,823.03,3045.15,38114,646,23
2024-02-22,Meta_Prospecting_Broad,display,902.83,2736.37,28056,668,21
2024-02-23,Meta_Prospecting_Broad,display,810.39,2895.65,39813,577,22
2024-02-24,Meta_Prospecting_Broad,display,903.23,3357.9,48090,687,37
2024-02-25,Meta_Prospecting_Broad,display,860.52,3291.24,35445,695,26
2024-02-26,Meta_Prospecting_Broad,display,800.12,2725.31,30628,589,26
2024-02-27,Meta_Prospecting_Broad,display,757.19,2208.16,33046,533,17
2024-02-28,Meta_Prospecting_Broad,display,872.07,3417.91,32383,689,35
2024-02-29,Meta_Prospecting_Broad,display,840.09,2869.29,41259,809,38
2024-03-01,Meta_Prospecting_Broad,display,731.87,2692.05,37515,615,26
2024-03-02,Meta_Prospecting_Broad,display,896.35,2759.13,46670,718,22
2024-03-03,Meta_Prospecting_Broad,display,900.75,3287.64,40484,698,26
2024-03-04,Meta_Prospecting_Broad,display,837.85,3218.1,35340,620,23
2024-03-05,Meta_Prospecting_Broad,display,793.23,2936.44,29026,631,25
2024-03-06,Meta_Prospecting_Broad,display,756.05,2406.21,22468,548,19
2024-03-07,Meta_Prospecting_Broad,display,712.95,2564.42,30294,561,23
2024-03-08,Meta_Prospecting_Broad,display,746.7,2454.7,21800,545,22
2024-03-09,Meta_Prospecting_Broad,display,839.84,2630.52,25536,608,26
2024-03-10,Meta_Prospecting_Broad,display,825.09,2866.98,30030,546,14
2024-03-11,Meta_Prospecting_Broad,display,813.31,2892.84,38808,616,16
2024-03-12,Meta_Prospecting_Broad,display,739.69,2417.27,35644,532,21
2024-03-13,Meta_Prospecting_Broad,display,810.71,2727.52,36046,538,27
2024-03-14,Meta_Prospecting_Broad,display,709.19,2411.49,31863,559,25
2024-03-15,Meta_Prospecting_Broad,display,759.58,2727.63,33024,516,20
2024-03-16,Meta_Prospecting_Broad,display,904.46,3195.96,41325,725,23
2024-03-17,Meta_Prospecting_Broad,display,839.61,3055.45,30912,672,28
2024-03-18,Meta_Prospecting_Broad,display,864.29,2876.0,32118,606,30
2024-03-19,Meta_Prospecting_Broad,display,715.19,2192.61,22218,529,19
2024-03-20,Meta_Prospecting_Broad,display,816.41,2892.82,28249,689,23
2024-03-21,Meta_Prospecting_Broad,display,813.71,2916.48,43584,681,30
2024-03-22,Meta_Prospecting_Broad,display,831.65,2850.82,44748,678,27
2024-03-23,Meta_Prospecting_Broad,display,973.29,3227.47,55242,837,28
2024-03-24,Meta_Prospecting_Broad,display,900.18,3343.55,30550,650,32
2024-03-25,Meta_Prospecting_Broad,display,810.27,2930.01,43029,683,25
2024-03-26,Meta_Prospecting_Broad,display,914.87,3012.56,38709,759,33
2024-03-27,Meta_Prospecting_Broad,display,934.87,3131.92,37577,709,24
2024-03-28,Meta_Prospecting_Broad,display,834.89,3029.7,29140,620,30
2024-03-29,Meta_Prospecting_Broad,display,907.35,3001.35,49818,722,19
2024-03-30,Meta_Prospecting_Broad,display,1036.35,3733.26,44772,861,39
